epoch,accuracy,loss,val_accuracy,val_loss
0,0.7323687076568604,0.8752014636993408,0.8227404952049255,0.5705858469009399
1,0.8137205243110657,0.5777512192726135,0.8422740697860718,0.5005236268043518
2,0.8334513902664185,0.518142819404602,0.8518950343132019,0.47070518136024475
3,0.8453910946846008,0.47230660915374756,0.852769672870636,0.4560951292514801
4,0.8533846139907837,0.4471915066242218,0.8653061389923096,0.4304928183555603
5,0.8563189506530762,0.4353869557380676,0.8597667813301086,0.42819538712501526
6,0.8607710003852844,0.42074888944625854,0.8682215809822083,0.4145490825176239
7,0.8649195432662964,0.40160849690437317,0.8661807775497437,0.41459837555885315
8,0.8765556812286377,0.37804439663887024,0.8664723038673401,0.414544939994812
9,0.8768592476844788,0.37479567527770996,0.872011661529541,0.4080154299736023
